,t,x1,x2,y1,y2
0,0.0,-0.0001410024264186221,-0.3418791619547977,0.9999999900591579,0.060204783473086665
1,0.01,-0.000564154019344362,-0.34145632107010937,0.9999998408651085,0.05989743663276459
2,0.02,-0.0012698868375553877,-0.3407519320821897,0.9999991936933849,0.05938665871603299
3,0.03,-0.0022589178834913457,-0.339766519692058,0.9999974486417431,0.0586746460275549
4,0.04,-0.0035322435716773856,-0.3385008286083046,0.9999937616082164,0.05776446518480338
5,0.05,-0.005091135465318158,-0.3369558397150746,0.9999870400858571,0.056660045839841855
6,0.06,-0.00693713050194954,-0.3351327822600109,0.9999759378207053,0.0553661696269282
7,0.07,-0.009072021263333622,-0.33303315281075563,0.9999588483683705,0.053888457093749786
8,0.08,-0.011497844207764746,-0.3306587367431036,0.9999338976045237,0.0522333517167175
9,0.09,-0.014216866191470846,-0.3280116326780399,0.9998989352508051,0.05040810089502279
10,0.1,-0.017231569329566227,-0.3250942797024527,0.9998515254868796,0.048420733699132024
11,0.11,-0.020544634258558896,-0.32190948717886464,0.9997889367277386,0.046280035130945696
12,0.12,-0.024158921872431665,-0.3184604669112897,0.999708130653123,0.04399551663793644
13,0.13,-0.0280774536193117,-0.3147508674012149,0.9996057505828262,0.041577382615243685
14,0.14,-0.03230339045920948,-0.3107848098862702,0.9994781092974673,0.0390364926263187
15,0.15,-0.03684001059977207,-0.30656692581491674,0.9993211764087704,0.036384319076721794
16,0.16,-0.041690686141536946,-0.3021023953632762,0.9991305653862501,0.033632900086011164
17,0.17,-0.04685885878458273,-0.29739698656471897,0.9989015203479302,0.030794787322886097
18,0.18,-0.052348014757077926,-0.2924570945584942,0.998628902721623,0.027882988593256886
19,0.19,-0.05816165915398288,-0.28728978044769504,0.998307177878861,0.024910905011323314
20,0.2,-0.06430328987557168,-0.2819028091804525,0.9979304018373116,0.021892262624358172
21,0.21,-0.07077637138019936,-0.27630468585758616,0.997492208117062,0.018841038420686296
22,0.22,-0.07758430846555057,-0.27050468980616454,0.9969857948235382,0.01577138071039852
23,0.23,-0.08473042030326841,-0.2645129057364245,0.9964039120132113,0.012697523942321043
24,0.24,-0.09221791497873236,-0.2583402513371572,0.9957388493761682,0.009633698105362631
25,0.25,-0.10004986522754529,-0.25199850211993946,0.9949824242005233,0.006594033057373827
26,0.26,-0.10822918392547189,-0.24550030765894254,0.9941259697577699,0.003592457659895354
27,0.27,-0.1167586018805514,-0.23885920564093738,0.9931603238585898,0.0006425947668877718
28,0.28,-0.12564064582619994,-0.23208962589350463,0.9920758177258305,-0.0022423479749830166
29,0.29,-0.13487761892577996,-0.2252068907085186,0.9908622648546629,-0.005049690420099395
30,0.3,-0.14447158019013384,-0.21822719786151823,0.9895089501956845,-0.007767395087764251
31,0.31,-0.15442433499298933,-0.21116763023367519,0.9880046177837293,-0.01038418345816583
32,0.32,-0.16473741221047072,-0.20404610255195127,0.9863374600096041,-0.01288965474641457
33,0.33,-0.17541205286820635,-0.1968813338442097,0.9844951049693247,-0.015274403454678676
34,0.34,-0.1864491988922704,-0.18969280695329438,0.9824646030429954,-0.017530136446541333
35,0.35000000000000003,-0.19784948183351564,-0.18250071352365838,0.9802324125115479,-0.019649788205801766
36,0.36,-0.20961321277503012,-0.17532589045733965,0.9777843837115267,-0.021627633190553053
37,0.37,-0.22174037258993518,-0.16818974618118296,0.9751057415294389,-0.023459394258522726
38,0.38,-0.23423060234525775,-0.16111417806378592,0.9721810659156954,-0.02514234627329548
39,0.39,-0.24708319306439314,-0.15412148040416745,0.9689942702127313,-0.026675413959322603
40,0.4,-0.260297074170889,-0.14723424337583704,0.9655285770903287,-0.02805926315964613
41,0.41000000000000003,-0.27387079983527945,-0.14047524337340062,0.9617664919290879,-0.029296384742329762
42,0.42,-0.2878025318667426,-0.13386732373251642,0.9576897737008017,-0.030391170198367234
43,0.43,-0.3020900203128476,-0.12743327331420498,0.9532794027080326,-0.03134997971352205
44,0.44,-0.316730577485249,-0.12119569245382664,0.9485155461487496,-0.03218120042266048
45,0.45,-0.33172104653867757,-0.11517685471339054,0.9433775210822466,-0.032895295801811275
46,0.46,-0.3470577661385697,-0.1093985728593124,0.9378437540245741,-0.033504848614999694
47,0.47000000000000003,-0.36273651454241107,-0.10388202142024061,0.9318917431856681,-0.03402458413801068
48,0.48,-0.3787524615297345,-0.0986476108489272,0.9254980134420424,-0.03447139889622719
49,0.49,-0.39510009844140026,-0.09371482103503975,0.9186380746581299,-0.03486437136007048
50,0.5,-0.41177315878535736,-0.08910204004489325,0.9112863796326207,-0.03522476617115555
51,0.51,-0.42876452544968513,-0.08482639926696345,0.9034162837340859,-0.035576030056563956
52,0.52,-0.4460661254154624,-0.08090360971910487,0.8950000065680653,-0.03594378181569491
53,0.53,-0.46366880518815634,-0.07734778666456243,0.8860085998992264,-0.03635579156810087
54,0.54,-0.48156219291605207,-0.0741712787166039,0.8764119204768287,-0.036841956069960324
55,0.55,-0.49973454071875417,-0.07138448933224878,0.8661786125347449,-0.0374342655702421
56,0.56,-0.5181725436056154,-0.06899568675799184,0.8552761045728372,-0.03816675944952963
57,0.5700000000000001,-0.5368611626476575,-0.0670108507682658,0.8436706063628182,-0.03907549780691322
58,0.58,-0.5557833942951642,-0.0654334541408273,0.8313271429622312,-0.040198494176825195
59,0.59,-0.574920044020485,-0.06426428331642953,0.8182095959981669,-0.041575664435950066
60,0.6,-0.5942494747734522,-0.06350124313094441,0.8042807729465352,-0.04324876318087956
61,0.61,-0.6137473375707597,-0.06313915789521507,0.7895025051415631,-0.04526131323725424
62,0.62,-0.6333862866708676,-0.06316957055762185,0.7738357783517699,-0.0476585287892024
63,0.63,-0.6531356560267536,-0.06358050461299514,0.7572409225778162,-0.05048720212844937
64,0.64,-0.6729611804461165,-0.06435630154725591,0.739677801216563,-0.05379563966252732
65,0.65,-0.6928246649192826,-0.06547739651710838,0.7211060835130181,-0.0576335423108707
66,0.66,-0.712683653482803,-0.06692009725008563,0.7014855736637811,-0.06205187102486942
67,0.67,-0.7324911115703774,-0.0686563797615386,0.6807765943908419,-0.06710270659581263
68,0.68,-0.7521951186689878,-0.07065368881234046,0.6589404399872172,-0.07283908923518234
69,0.6900000000000001,-0.7717385823505543,-0.0728747493098586,0.6359399032232187,-0.07931483661963379
70,0.7000000000000001,-0.7910589854966192,-0.0752773949502954,0.6117398805579538,-0.08658433829384493
71,0.71,-0.8100881812844486,-0.07781442292233998,0.5863080577164657,-0.09470232606210205
72,0.72,-0.8287522475119524,-0.0804334756206948,0.5596156826286122,-0.103723608861919
73,0.73,-0.8469714266234712,-0.08307697569585659,0.5316384132880184,-0.11370278936527423
74,0.74,-0.8646601622811865,-0.08568211043596963,0.5023572471497474,-0.12469394274102275
75,0.75,-0.8817272579083973,-0.08818088764204812,0.4717595178280335,-0.13675026700463633
76,0.76,-0.8980761781000816,-0.09050027684778539,0.43983994626358186,-0.14992370446147046
77,0.77,-0.9136055145087079,-0.09256245281845588,0.4066017263358324,-0.16426453720607387
78,0.78,-0.9282096363210735,-0.09428515919693037,0.3720576179044054,-0.17982096154330662
79,0.79,-0.9417795422367881,-0.09558221039435566,0.3362310125854931,-0.19663864838494377
80,0.8,-0.9542039252616863,-0.09636415181102131,0.2991569304147746,-0.21476030327768664
81,0.81,-0.9653704552472292,-0.09653908032937175,0.26088289352841354,-0.2342252178557016
82,0.8200000000000001,-0.9751672695430741,-0.09601366437927461,0.22146962864443834,-0.25506886773071724
83,0.8300000000000001,-0.9834846587153284,-0.09469433106430092,0.18099150828586982,-0.2773225254006181
84,0.84,-0.9902168966196581,-0.09248865873258438,0.13953672509032672,-0.30101294395979267
85,0.85,-0.9952641785191225,-0.08930693381848664,0.09720707256499499,-0.3261621171198853
86,0.86,-0.9985345847253337,-0.08506384312288928,0.054117308759817136,-0.3527871078250612
87,0.87,-0.9999459801122974,-0.07968029027088552,0.010394077989751279,-0.38090000591736617
88,0.88,-0.9994277488559726,-0.07308525076679495,-0.033825653233647036,-0.41050798124214527
89,0.89,-0.9969222496034003,-0.06521762044404056,-0.07839660863644421,-0.4416134639763636
90,0.9,-0.9923858797808283,-0.0560279624535015,-0.12316763215890597,-0.4742144248496114
91,0.91,-0.9857896456073221,-0.04548007140362054,-0.1679844475342591,-0.5083047446968784
92,0.92,-0.9771191625101308,-0.03355229589112829,-0.2126926003778711,-0.5438746775179205
93,0.93,-0.9663740357054633,-0.02023851158685297,-0.257140473504923,-0.5809113338379716
94,0.9400000000000001,-0.9535666124042838,-0.005548697026552918,-0.30118219686398884,-0.6193991544933105
95,0.9500000000000001,-0.938720144638445,0.010490908266486021,-0.34468027220886455,-0.6593203476015459
96,0.96,-0.9218664458107454,0.027838056321537463,-0.3875077497138142,-0.7006552527050927
97,0.97,-0.903043145728925,0.04643514535109827,-0.4295498538610012,-0.7433825716705991
98,0.98,-0.882290701146547,0.0662101617557942,-0.4707049167688123,-0.7874794628950981
99,0.99,-0.8596492618282211,0.0870778905667351,-0.5108846705844623,-0.8329214680442207
100,1.0,-0.8351555667492411,0.10894120873287838,-0.5500137992157597,-0.8796822364739608
101,1.01,-0.8088399404611356,0.13169238880547862,-0.5880288689467776,-0.92773306027258
102,1.02,-0.7807234686466329,0.15521427698156642,-0.6248766802372849,-0.9770421758617203
103,1.03,-0.7508153670848574,0.17938123435536724,-0.660512138078651,-1.0275738259038119
104,1.04,-0.7191105233236512,0.20405973367953245,-0.6948957153740296,-1.0792870219675526
105,1.05,-0.6855871425193077,0.22910851084557182,-0.7279905700022566,-1.1321339377758677
106,1.06,-0.6502043884116323,0.2543781712638654,-0.7597593390608998,-1.186057817513409
107,1.07,-0.6128998730973159,0.27971014021046914,-0.7901605821333371,-1.2409902219560487
108,1.08,-0.5735868197282951,0.30493481689390256,-0.8191447736718952,-1.2968473317419305
109,1.09,-0.5321506893567785,0.3298687434728488,-0.8466496582513369,-1.3535248869063659
110,1.1,-0.48844502738693074,0.3543105309024984,-0.8725946683432008,-1.4108911191695763
111,1.11,-0.4422862951805258,0.3780351532959663,-0.8968739226309821,-1.468776642653741
112,1.12,-0.39344749132889945,0.4007860693516858,-0.919347089823531,-1.5269596728800696
113,1.1300000000000001,-0.3416505866915336,0.4222644172716159,-0.939827046117173,-1.585143919226796
114,1.1400000000000001,-0.28655843963775973,0.44211432573940157,-0.9580627644744223,-1.6429247951036583
115,1.1500000000000001,-0.2277685583480348,0.45990339086433885,-0.9737152991650372,-1.6997368486155024
116,1.16,-0.16481566733755876,0.475098284219668,-0.9863243867004785,-1.7547709590803775
117,1.17,-0.09720018897882668,0.4870394010445315,-0.9952648508123254,-1.806846086086613
118,1.18,-0.024484484120046612,0.49493098706176525,-0.9997002100816901,-1.8542220461379588
119,1.19,0.053461604406328085,0.49789543227140665,-0.9985699058425009,-1.8943815895401372
120,1.2,0.13596801082430784,0.4951942578124173,-0.9907132279486738,-1.9239637320872132
121,1.21,0.2209397118352566,0.4867019338895323,-0.9752874672291005,-1.9393260771036085
122,1.22,0.3048347227978032,0.4733799301945043,-0.9524052665629199,-1.938099191198556
123,1.23,0.3839701951406119,0.45707872354027745,-0.9233454874767518,-1.920669478502354
124,1.24,0.4560929610567115,0.4396573067923612,-0.8899321383535495,-1.889797063865442
125,1.25,0.5206375272194977,0.42236153486529715,-0.8537778196057607,-1.8489370175870672
126,1.26,0.5780360953151166,0.405816125317899,-0.8160111963158676,-1.8010697133259779
127,1.27,0.6290718115985716,0.3902544531211286,-0.7773471913193559,-1.7484116944754833
128,1.28,0.6745522187439712,0.3757103106713301,-0.7382271359057357,-1.6925297681872897
129,1.29,0.7151937071351419,0.362127156778015,-0.6989262917320345,-1.6345245019798513
130,1.3,0.7515984192498896,0.3494122442442112,-0.6596209640248459,-1.5751788707867842
131,1.31,0.7842633876659623,0.3374618171049599,-0.6204280286759364,-1.5150611135460532
132,1.32,0.8135978342590542,0.32617226134762406,-0.5814280386161099,-1.4545925768744867
133,1.33,0.8399401662855518,0.3154447174127256,-0.5426790184447889,-1.3940922695230726
134,1.34,0.8635723687676432,0.3051866741826501,-0.5042249140027113,-1.3338063844339372
135,1.35,0.8847315559929303,0.2953122175256432,-0.46610092665680075,-1.2739281627913506
136,1.36,0.903619059300686,0.28574174186321055,-0.42833701178924927,-1.2146115316589123
137,1.37,0.9204075690576671,0.2764014841090663,-0.39096023688011516,-1.1559806042881833
138,1.3800000000000001,0.9352467743126364,0.2672230636644516,-0.3539964281427265,-1.0981364163249436
139,1.3900000000000001,0.948267864023844,0.2581431069023524,-0.3174713499824143,-1.0411617669481237
140,1.4000000000000001,0.9595871676667281,0.24910298928588293,-0.28141156274991025,-0.985124737467064
141,1.41,0.9693091426342809,0.24004870584049676,-0.2458450447041698,-0.9300812724262476
142,1.42,0.9775288625780515,0.23093086542540542,-0.21080161960208196,-0.8760770743181399
143,1.43,0.9843341121581638,0.22170480880967158,-0.1763132316129434,-0.823149026598188
144,1.44,0.9898071717545276,0.21233082666466707,-0.14241405388269507,-0.771326236008079
145,1.45,0.9940263389621051,0.2027744653598338,-0.10914044827466127,-0.7206308182077414
146,1.46,0.9970672196875118,0.1930069072374796,-0.0765307743630955,-0.6710785133569939
147,1.47,0.9990038069335563,0.18300538020861978,-0.044625034815244075,-0.6226791564876256
148,1.48,0.9999093512527253,0.17275357280606796,-0.01346437066312933,-0.5754370730093414
149,1.49,0.9998570226660427,0.16224203646399238,0.016909589746548426,-0.5293514603840087
150,1.5,0.9989203597061267,0.15146850655613853,0.046455515975850174,-0.4844167441702709
151,1.51,0.9971735024800962,0.14043813113319803,0.07513325463187084,-0.4406229896183491
152,1.52,0.9946912116662026,0.12916354484440573,0.10290477848001871,-0.397956337964467
